                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3294,                0.68638,                 1.0938,                0.86442,                 0.8826,                0.94351,                0.56184,                 1.4473,                0.68263,                 1.2323,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3143,                0.66702,                 1.0745,                0.83719,                0.90857,                0.93896,                 0.5585,                  1.428,                0.67321,                 1.2139,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3134,                0.67099,                 1.0831,                0.84185,                0.89526,                0.94283,                0.55208,                 1.4506,                 0.6767,                 1.2209,               0.001307,               0.001307,               0.001307
                     37,                 1.3075,                0.66791,                  1.085,                0.84262,                0.88342,                0.93672,                0.55174,                 1.4479,                 0.7106,                 1.2368,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2975,                0.66215,                 1.0763,                0.84436,                0.90528,                0.93754,                0.54411,                 1.4599,                0.69461,                 1.2382,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2966,                0.65675,                 1.0786,                0.85815,                0.89071,                0.93641,                 0.5523,                 1.4335,                0.68973,                 1.2174,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2951,                 0.6583,                 1.0734,                0.86381,                0.88382,                 0.9359,                0.56286,                 1.4299,                0.66129,                  1.212,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2834,                0.65289,                 1.0763,                0.85799,                0.88588,                0.93638,                0.55946,                 1.4275,                0.67577,                 1.2055,               0.001208,               0.001208,               0.001208
                     42,                 1.2959,                 0.6526,                 1.0771,                0.85543,                0.89455,                 0.9373,                0.54941,                  1.448,                0.67469,                 1.2262,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2812,                0.64408,                 1.0702,                0.87001,                0.88434,                0.94022,                0.55631,                 1.4326,                0.66259,                  1.213,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2772,                0.64484,                 1.0724,                0.85181,                0.90042,                0.94152,                0.55511,                 1.4452,                0.66322,                  1.229,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2737,                0.64067,                 1.0702,                0.84553,                0.90437,                0.93981,                0.56374,                 1.4215,                0.65752,                 1.2115,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.278,                0.63889,                 1.0621,                0.85866,                0.88523,                0.94117,                0.55448,                 1.4317,                0.67137,                 1.2166,               0.001109,               0.001109,               0.001109
                     47,                 1.2499,                0.62285,                 1.0616,                0.87816,                0.85974,                0.93587,                 0.5511,                 1.4465,                0.67806,                 1.2355,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2581,                0.63313,                 1.0575,                0.86782,                0.88798,                0.94068,                0.56149,                 1.4322,                0.65663,                 1.2173,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.247,                0.62979,                 1.0601,                0.83537,                0.90437,                0.93643,                0.55125,                 1.4464,                0.71343,                 1.2356,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2546,                0.62789,                 1.0545,                0.87241,                0.87185,                0.93408,                0.54753,                 1.4478,                0.67274,                  1.228,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.231,                0.61408,                  1.054,                0.85761,                0.89435,                0.94166,                0.55803,                 1.4649,                0.65532,                 1.2454,                0.00101,                0.00101,                0.00101
                     52,                 1.2388,                0.61437,                 1.0483,                0.84232,                0.88889,                0.93835,                0.56126,                 1.4366,                 0.6639,                 1.2197,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.239,                0.61494,                  1.054,                0.85246,                 0.8816,                0.93551,                0.55268,                 1.4509,                0.67529,                 1.2392,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.231,                0.60945,                 1.0488,                0.82229,                0.91712,                0.94116,                0.55822,                 1.4427,                0.65989,                 1.2259,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2235,                0.60206,                 1.0494,                0.84893,                0.88707,                0.93697,                 0.5548,                 1.4506,                0.66702,                 1.2362,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2167,                0.60174,                 1.0453,                0.86248,                0.88532,                0.93601,                0.55458,                 1.4664,                0.66592,                 1.2406,               0.000911,               0.000911,               0.000911
                     57,                 1.2138,                0.60284,                 1.0423,                0.85614,                0.89431,                0.94146,                0.55669,                 1.4422,                  0.664,                 1.2292,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2108,                0.59818,                 1.0419,                0.83902,                0.89713,                 0.9396,                0.56653,                 1.4382,                0.65562,                 1.2289,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2142,                0.59653,                 1.0455,                 0.8373,                0.89989,                0.93342,                0.55622,                 1.4578,                0.67034,                 1.2482,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.207,                0.59487,                 1.0423,                0.85211,                0.90255,                0.93749,                0.55901,                 1.4518,                0.67351,                 1.2388,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1923,                0.58642,                 1.0379,                0.82835,                0.91075,                0.93953,                0.56481,                 1.4389,                0.66259,                 1.2262,               0.000812,               0.000812,               0.000812
                     62,                 1.1799,                0.57757,                 1.0279,                0.87066,                0.86612,                0.93415,                0.56518,                 1.4322,                0.65297,                 1.2256,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1791,                0.57473,                 1.0276,                0.86584,                0.87575,                0.93631,                0.56311,                 1.4218,                0.64832,                 1.2052,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1802,                0.57632,                  1.026,                0.86154,                0.87796,                0.93495,                0.56192,                 1.4321,                0.65894,                 1.2173,              0.0007526,              0.0007526,              0.0007526
                     65,                   1.17,                0.57378,                 1.0262,                0.85118,                0.89078,                0.93657,                0.55622,                 1.4522,                 0.6748,                 1.2498,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1697,                0.56797,                  1.028,                0.85508,                0.88342,                 0.9316,                0.55235,                 1.4728,                0.67708,                 1.2579,               0.000713,               0.000713,               0.000713
                     67,                 1.1586,                  0.561,                 1.0236,                0.86253,                0.90255,                0.93441,                0.55299,                 1.4599,                  0.674,                 1.2437,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1532,                0.56128,                 1.0158,                0.85294,                0.89344,                0.93572,                 0.5685,                 1.4383,                0.64605,                 1.2279,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1474,                 0.5593,                   1.02,                0.85419,                0.88798,                0.93874,                0.55776,                 1.4587,                0.65479,                 1.2444,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1299,                0.55109,                 1.0151,                0.83147,                0.89866,                 0.9298,                0.54997,                 1.4526,                0.69092,                 1.2431,              0.0006338,              0.0006338,              0.0006338
                     71,                   1.13,                0.55007,                 1.0089,                0.85215,                0.88434,                0.93322,                0.55565,                 1.4531,                0.66795,                 1.2459,               0.000614,               0.000614,               0.000614
                     72,                 1.1297,                0.54657,                  1.016,                0.86349,                0.87705,                0.93221,                0.55259,                 1.4588,                0.68052,                 1.2426,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1446,                0.55086,                 1.0129,                0.85763,                0.88876,                0.93635,                0.56588,                  1.449,                0.65308,                 1.2356,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1217,                0.54049,                 1.0124,                0.86663,                0.86997,                0.93544,                0.55976,                 1.4528,                0.65825,                 1.2295,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1296,                0.54499,                 1.0115,                0.85625,                0.88525,                0.92811,                0.55677,                 1.4605,                0.67872,                 1.2453,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1101,                0.54357,                 1.0083,                0.86938,                0.87158,                0.93235,                0.56152,                 1.4548,                 0.6611,                  1.234,               0.000515,               0.000515,               0.000515
                     77,                 1.1239,                0.54532,                 1.0085,                0.86499,                0.88434,                0.93138,                0.54978,                 1.4691,                 0.6808,                 1.2385,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1036,                0.53745,                 1.0013,                0.85862,                0.88889,                0.93248,                0.55135,                 1.4728,                0.67031,                 1.2403,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1073,                0.53202,                0.99971,                0.85784,                0.88798,                0.93074,                0.55055,                 1.4744,                0.66943,                 1.2459,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0956,                0.52633,                0.99971,                0.86358,                0.88707,                0.93347,                0.55155,                 1.4556,                0.65959,                 1.2323,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0871,                0.52307,                0.99883,                0.86001,                0.89253,                0.92894,                0.54922,                 1.4633,                0.66003,                 1.2364,               0.000416,               0.000416,               0.000416
                     82,                 1.0814,                 0.5185,                0.99249,                0.86759,                0.86976,                0.93002,                 0.5504,                 1.4603,                0.67736,                 1.2495,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0724,                0.51666,                 0.9899,                0.84334,                0.89435,                0.92997,                0.55303,                 1.4543,                0.67393,                 1.2476,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0752,                0.51668,                0.99725,                 0.8564,                0.87989,                0.93018,                 0.5526,                 1.4658,                0.66158,                 1.2442,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0722,                0.51387,                0.99119,                 0.8648,                0.88551,                0.93279,                0.55313,                 1.4743,                0.65433,                 1.2562,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0681,                0.50764,                0.98915,                0.86126,                0.87067,                0.92976,                0.54928,                 1.4905,                0.67737,                 1.2724,               0.000317,               0.000317,               0.000317
                     87,                 1.0608,                 0.5092,                0.99138,                0.86516,                0.87887,                0.93045,                0.55392,                 1.4665,                 0.6626,                 1.2549,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0542,                0.50239,                0.98398,                0.87394,                0.87887,                  0.931,                0.54655,                 1.4868,                 0.6724,                 1.2692,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0442,                0.50011,                0.98158,                0.86861,                0.87887,                0.92895,                0.54611,                 1.4819,                0.67068,                  1.266,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0344,                0.48555,                0.98621,                0.84149,                0.89435,                0.92569,                0.54797,                 1.4789,                0.69214,                 1.2569,              0.0002378,              0.0002378,              0.0002378
                     91,                  1.003,                 0.4634,                0.97493,                0.84425,                 0.8985,                0.92398,                0.54655,                 1.4782,                0.67957,                 1.2534,               0.000218,               0.000218,               0.000218
                     92,                0.98709,                 0.4482,                0.97299,                0.86494,                0.88798,                0.93097,                0.55386,                 1.4855,                0.67559,                 1.2625,              0.0001982,              0.0001982,              0.0001982
                     93,                0.97918,                0.44985,                0.96742,                0.85854,                0.88437,                0.92828,                0.55014,                 1.4889,                0.67475,                 1.2652,              0.0001784,              0.0001784,              0.0001784
                     94,                0.97753,                0.44537,                0.96564,                0.86179,                0.89157,                0.92723,                0.54938,                 1.4838,                0.67319,                 1.2602,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.9633,                0.44283,                 0.9624,                0.86477,                0.89111,                0.92464,                0.54835,                 1.4874,                0.67121,                 1.2658,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.9656,                0.44043,                0.96031,                0.86013,                0.89617,                0.92699,                 0.5505,                 1.4831,                 0.6792,                 1.2675,               0.000119,               0.000119,               0.000119
                     97,                0.95054,                0.43444,                 0.9568,                0.85468,                0.89344,                0.92401,                0.54779,                 1.4857,                0.67663,                 1.2677,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.94134,                0.42923,                0.95289,                0.86975,                0.88798,                0.92737,                0.55331,                 1.4909,                  0.674,                 1.2657,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.94744,                0.43223,                0.95267,                0.86893,                 0.8816,                0.92285,                0.54767,                 1.4918,                0.67845,                  1.268,               5.96e-05,               5.96e-05,               5.96e-05
